province,rural,wealth_quintile,raw_weight_hh,true_cluster,fpc,fpc2,program,itns_in_hh,llins_in_hh,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea
North-Western,Rural,3,533.244873,154,0.011178861,0.15436241,Contorl,5,5,3,1,5,1,1,1,5,1.666666667,1,1,1,1,0,1,47.82608696,3
Northern,Urban,5,1934.877197,145,0.003367003,0.172131151,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,31.81818182,2
Lusaka,Urban,4,1292.921265,104,0.004336827,0.157232702,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
Central,Rural,2,909.2398071,13,0.008504924,0.091304347,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,1
Copperbelt,Urban,5,316.8677979,40,0.004253509,0.694444418,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
North-Western,Rural,4,167.2251892,151,0.011178861,0.148148149,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,40,3
Northern,Rural,4,500.5276489,135,0.008608972,0.194690272,Contorl,1,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,1,1,68.18181818,4
Western,Rural,1,153.4167023,194,0.009014085,0.51111114,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,82.60869565,5
Southern,Rural,4,882.3082886,171,0.008669267,0.078125,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,38.0952381,2
Eastern,Rural,1,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3
Eastern,Rural,4,521.3146362,50,0.010673986,0.323943675,Group 1: Pre-elimination (phase 1),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,30.43478261,2
Eastern,Rural,4,177.9990234,59,0.010673986,0.479166657,Group 3: Pre-elimination (phase 3),1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,69.56521739,4
Copperbelt,Urban,5,316.8677979,40,0.004253509,0.694444418,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
Eastern,Rural,3,441.381958,57,0.010673986,0.217391297,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,84,5
Lusaka,Urban,5,1624.172241,110,0.004336827,0.196850389,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
Eastern,Rural,2,681.663269,197,0.010673986,0.193548381,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
Luapula,Rural,1,538.1774902,81,0.01005291,0.182481751,Contorl,2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,1,44,3
Southern,Urban,5,1069.150513,178,0.003696858,0.246376812,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
Eastern,Rural,1,703.6523438,44,0.010673986,0.196721315,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,62.5,4
Northern,Rural,4,511.7737122,126,0.008608972,0.46938777,Contorl,1,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,1,1,83.33333333,5
Western,Rural,3,417.3861084,195,0.009014085,0.237113401,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,34.7826087,2
Copperbelt,Rural,3,380.7234192,23,0.009740259,0.101265825,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,12.5,1
Eastern,Rural,1,619.6938477,55,0.010673986,0.154838711,Group 3: Pre-elimination (phase 3),2,0,1,1,2,1,1,0,2,2,1,1,0,1,1,1,52,3
Muchinga,Rural,1,387.4343872,121,0.008843537,0.173611104,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,11.53846154,1
North-Western,Urban,5,2388.099854,157,0.005050505,0.131736532,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,60,4
Copperbelt,Rural,4,443.9248962,30,0.009740259,0.115207374,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,60,4
North-Western,Rural,3,738.3956909,146,0.011178861,0.200000003,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,65.2173913,4
Western,Rural,4,402.0045471,188,0.009014085,0.357142866,Contorl,3,3,4,1,3,1,1,1,3,0.75,0,1,1,1,1,1,20,2
Luapula,Rural,1,765.9437256,71,0.01005291,0.100877196,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
Luapula,Rural,2,699.3758545,80,0.01005291,0.115577891,Contorl,1,0,4,1,1,0,0,0,1,0.25,0,1,0,1,0,1,29.16666667,2
North-Western,Rural,2,355.4137878,152,0.011178861,0.215686277,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,1
Eastern,Rural,3,505.5463867,48,0.010673986,0.273809522,Group 2: Pre-elimination (phase 2),2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,1,43.47826087,3
Copperbelt,Rural,5,2013.269531,25,0.009740259,0.055944055,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
Eastern,Rural,2,754.2520752,54,0.010673986,0.12578617,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,95.45454545,5
Lusaka,Urban,4,1548.101318,103,0.004336827,0.183206111,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Western,Rural,1,153.4167023,194,0.009014085,0.51111114,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.60869565,5
Northern,Rural,3,605.6147461,128,0.008608972,0.129213482,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,0,1,8.695652174,1
Muchinga,Rural,4,340.9855652,119,0.008843537,0.282352954,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,37.5,2
Lusaka,Urban,5,1624.172241,110,0.004336827,0.196850389,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
Northern,Rural,4,335.6497192,140,0.008608972,0.127167627,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.09090909,3
Eastern,Rural,1,703.6523438,44,0.010673986,0.196721315,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,62.5,4
Lusaka,Urban,5,1356.745117,106,0.004336827,0.115207374,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Eastern,Rural,2,449.232605,68,0.010673986,0.242718443,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,78.26086957,4
Eastern,Rural,5,521.3146362,50,0.010673986,0.323943675,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43478261,2
Lusaka,Rural,5,785.8235474,94,0.010804322,0.178294569,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,1
Central,Rural,2,425.211792,17,0.008504924,0.300000012,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1
Northern,Rural,2,644.4005127,137,0.008608972,0.124260359,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,66.66666667,4
Lusaka,Rural,1,320.7049866,97,0.010804322,0.540540516,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
North-Western,Rural,2,377.5714111,147,0.011178861,0.274193555,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
Muchinga,Rural,1,340.9855652,119,0.008843537,0.282352954,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,37.5,2
Southern,Rural,2,484.6664124,165,0.008669267,0.190476194,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,34.7826087,2
Lusaka,Urban,5,1435.774902,100,0.004336827,0.185567006,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern,Rural,1,485.0439758,56,0.010673986,0.130890056,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,56,3
Southern,Urban,5,2030.643921,179,0.003696858,0.206185564,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Western,Rural,1,153.4167023,194,0.009014085,0.51111114,Contorl,2,0,3,1,2,1,1,0,2,0.666666667,0,1,0,1,1,1,82.60869565,5
Lusaka,Urban,5,1193.286987,102,0.004336827,0.149606302,Contorl,1,0,5,1,1,0,0,0,1,0.2,0,1,0,1,0,1,0,1
Western,Rural,2,616.3865967,181,0.009014085,0.201680675,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,37.5,2
Copperbelt,Rural,4,380.7234192,23,0.009740259,0.101265825,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,12.5,1
Southern,Rural,3,807.7772827,161,0.008669267,0.200000003,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,1,1,24,2
Lusaka,Urban,5,1519.062622,109,0.004336827,0.115183249,Contorl,3,3,4,1,3,1,1,1,3,0.75,0,1,1,1,0,1,9.090909091,1
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,41.66666667,3
Central,Rural,4,537.9537354,8,0.008504924,0.347222209,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2
Luapula,Rural,3,840.6568604,85,0.01005291,0.25,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,77.27272727,4
Luapula,Rural,2,765.9437256,71,0.01005291,0.100877196,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,75,4
Copperbelt,Rural,3,380.7234192,23,0.009740259,0.101265825,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1
Lusaka,Urban,5,1193.286987,102,0.004336827,0.149606302,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern,Rural,2,505.5463867,48,0.010673986,0.273809522,Group 2: Pre-elimination (phase 2),0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,43.47826087,3
Copperbelt,Rural,3,380.7234192,23,0.009740259,0.101265825,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,12.5,1
Eastern,Rural,3,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72.72727273,4
Copperbelt,Rural,3,476.67099,22,0.009740259,0.191176474,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,15.38461538,1
Copperbelt,Rural,2,380.7234192,23,0.009740259,0.101265825,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1
Northern,Rural,1,360.3304749,141,0.008608972,0.333333343,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,13.63636364,1
Copperbelt,Rural,4,453.1447144,28,0.009740259,0.303030312,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,76,4
Lusaka,Urban,5,1603.284668,101,0.004336827,0.103960395,Contorl,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
Copperbelt,Rural,1,146.2341003,26,0.009740259,0.806451619,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,76,4
Southern,Rural,5,484.6664124,165,0.008669267,0.190476194,Contorl,4,4,2,1,4,1,1,1,4,2,1,1,1,1,1,1,34.7826087,2
Eastern,Urban,5,1661.061035,70,0.004081632,0.203703701,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
Western,Rural,1,441.7264709,190,0.009014085,0.274725288,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3
Luapula,Rural,2,593.0375977,74,0.01005291,0.175438598,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,80.95238095,5
Southern,Rural,5,548.4053345,167,0.008669267,0.146153852,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.61904762,3
Northern,Rural,2,605.6147461,128,0.008608972,0.129213482,Contorl,2,0,3,1,2,1,1,0,2,0.666666667,0,1,0,1,0,1,8.695652174,1
Eastern,Rural,2,603.1306763,198,0.010673986,0.152173907,Group 2: Pre-elimination (phase 2),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,90.47619048,5
Lusaka,Rural,4,676.0807495,95,0.010804322,0.128205135,Contorl,2,0,2,1,2,1,1,0,2,1,1,1,0,1,0,1,66.66666667,4
Northern,Rural,2,561.5792236,143,0.008608972,0.101063833,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,78.94736842,4
Muchinga,Rural,2,387.4343872,121,0.008843537,0.173611104,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,11.53846154,1
Southern,Rural,4,565.1546021,174,0.008669267,0.090163931,Contorl,1,1,10,1,1,0,0,0,1,0.1,0,1,1,1,0,1,34.28571429,2
North-Western,Urban,4,1876.364258,157,0.005050505,0.131736532,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,60,4
Central,Rural,2,545.0557861,14,0.008504924,0.146496817,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43478261,2
Copperbelt,Urban,5,1653.740723,37,0.004253509,0.328358203,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,82.60869565,5
Northern,Rural,4,511.7737122,126,0.008608972,0.46938777,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,5
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,5,4,6,1,5,1,1,1,5,0.833333333,0,1,1,1,1,1,41.66666667,3
Luapula,Rural,2,412.4599609,72,0.01005291,0.184615389,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,45.83333333,3
North-Western,Rural,3,158.5607605,148,0.011178861,0.333333343,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333333,2
Eastern,Rural,4,177.9990234,59,0.010673986,0.479166657,Group 3: Pre-elimination (phase 3),3,0,3,1,3,1,1,0,3,1,1,1,0,1,1,1,69.56521739,4
Northern,Rural,1,651.9214478,131,0.008608972,0.233009711,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1
North-Western,Rural,4,418.4242249,149,0.011178861,0.192000002,Contorl,4,4,5,1,4,1,1,1,4,0.8,0,1,1,1,0,1,54.16666667,3
Copperbelt,Urban,5,859.3067627,35,0.004253509,0.205128208,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,54.16666667,3
Lusaka,Urban,5,1193.286987,102,0.004336827,0.149606302,Contorl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Southern,Rural,4,866.6915894,176,0.008669267,0.107476637,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,43.47826087,3
Copperbelt,Rural,1,363.6075134,24,0.009740259,0.157534242,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,0,1,4,1
Luapula,Rural,4,471.8781433,75,0.01005291,0.210084036,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,84,5
North-Western,Rural,2,392.0827942,153,0.011178861,0.108527131,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,44.44444444,3
Northern,Rural,1,693.4748535,130,0.008608972,0.219047621,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,16.66666667,1
Central,Urban,5,2280.060059,20,0.003372681,0.185185179,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,1,1,28,2
Northern,Rural,1,910.2848511,134,0.008608972,0.141843975,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,66.66666667,4
North-Western,Rural,3,738.3956909,146,0.011178861,0.200000003,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,65.2173913,4
Muchinga,Rural,1,235.6892395,112,0.008843537,0.490196079,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,84,5
Eastern,Rural,1,485.0439758,56,0.010673986,0.130890056,Group 3: Pre-elimination (phase 3),1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,56,3
Eastern,Rural,1,556.348999,49,0.010673986,0.139240503,Group 1: Pre-elimination (phase 1),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,50,3
Copperbelt,Urban,4,1394.449951,33,0.004253509,0.14371258,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3
Northern,Rural,4,229.5438385,133,0.008608972,0.600000024,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,57.89473684,3
Northern,Rural,3,631.2456055,132,0.008608972,0.181818187,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,4.347826087,1
Copperbelt,Rural,4,453.1447144,28,0.009740259,0.303030312,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,76,4
North-Western,Rural,3,556.4611206,155,0.011178861,0.186046511,Contorl,2,1,2,1,2,1,1,0,2,1,1,1,1,1,1,1,76,4
Southern,Rural,5,484.6664124,165,0.008669267,0.190476194,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,34.7826087,2
Western,Rural,4,616.3865967,181,0.009014085,0.201680675,Contorl,4,4,2,1,4,1,1,1,4,2,1,1,1,1,0,1,37.5,2
Luapula,Rural,1,412.4599609,72,0.01005291,0.184615389,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,45.83333333,3
Eastern,Rural,3,336.3952026,60,0.010673986,0.220183492,Group 3: Pre-elimination (phase 3),1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,0,1,20,2
Copperbelt,Urban,5,1394.449951,33,0.004253509,0.14371258,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3
Central,Rural,4,205.3968658,15,0.008504924,0.585365832,Contorl,6,6,3,1,6,1,1,1,6,2,1,1,1,1,0,1,11.53846154,1
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,52,3
Eastern,Rural,1,555.6348877,200,0.010673986,0.147540987,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,79.16666667,4
Luapula,Rural,1,699.3758545,80,0.01005291,0.115577891,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,29.16666667,2
North-Western,Rural,3,377.5714111,147,0.011178861,0.274193555,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,83.33333333,5
Northern,Rural,3,605.6147461,128,0.008608972,0.129213482,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,8.695652174,1
Southern,Rural,5,548.4053345,167,0.008669267,0.146153852,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,47.61904762,3
Copperbelt,Rural,1,517.9124146,27,0.009740259,0.322580636,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,56,3
Luapula,Rural,5,289.2167969,88,0.01005291,0.202380955,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,68.18181818,4
Northern,Rural,1,366.293396,138,0.008608972,0.300000012,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14.28571429,1
Western,Rural,2,153.4167023,194,0.009014085,0.51111114,Contorl,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,82.60869565,5
Luapula,Rural,4,471.8781433,75,0.01005291,0.210084036,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5
Muchinga,Rural,2,340.9855652,119,0.008843537,0.282352954,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,37.5,2
Muchinga,Rural,1,355.3428955,124,0.008843537,0.290909082,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,25,2
Copperbelt,Rural,1,146.2341003,26,0.009740259,0.806451619,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,76,4
Luapula,Rural,4,538.1774902,81,0.01005291,0.182481751,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
Western,Rural,4,616.3865967,181,0.009014085,0.201680675,Contorl,4,4,3,1,4,1,1,1,4,1.333333333,1,1,1,1,0,1,37.5,2
Eastern,Rural,3,481.271698,58,0.010673986,0.165517241,Group 3: Pre-elimination (phase 3),4,0,4,1,4,1,1,0,4,1,1,1,0,1,1,1,72,4
North-Western,Rural,3,441.6700439,150,0.011178861,0.210526317,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,1
Eastern,Rural,3,427.0566711,42,0.010673986,0.278481007,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,4
Eastern,Rural,2,416.0484619,64,0.010673986,0.161073819,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,66.66666667,4
Southern,Urban,5,2030.643921,179,0.003696858,0.206185564,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Northern,Rural,2,360.3304749,141,0.008608972,0.333333343,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,13.63636364,1
Western,Rural,3,417.3861084,195,0.009014085,0.237113401,Contorl,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,34.7826087,2
Eastern,Rural,4,570.9179077,199,0.010673986,0.168067232,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,65,4
Western,Rural,3,373.4830017,180,0.009014085,0.229357794,Contorl,1,1,4,1,1,0,0,0,1,0.25,0,1,1,1,1,1,36,2
Lusaka,Rural,2,617.5328979,99,0.010804322,0.15625,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,60,4
Muchinga,Rural,3,555.9848633,116,0.008843537,0.135869563,Contorl,2,0,3,1,2,1,1,0,2,0.666666667,0,1,0,1,1,1,76,4
Copperbelt,Rural,4,443.9248962,30,0.009740259,0.115207374,Contorl,1,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,1,1,60,4
Eastern,Rural,1,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,40,3
Luapula,Urban,5,1629.50769,90,0.002994012,0.157894731,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,87.5,5
Central,Urban,4,2280.060059,20,0.003372681,0.185185179,Contorl,3,3,6,1,3,1,1,1,3,0.5,0,1,1,1,0,1,28,2
Muchinga,Rural,4,341.5785828,120,0.008843537,0.205357149,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,22.72727273,2
Copperbelt,Urban,5,995.0276489,31,0.004253509,0.139240503,Contorl,2,0,4,1,2,1,1,0,2,0.5,0,1,0,1,1,1,56.52173913,3
Lusaka,Urban,5,1624.172241,110,0.004336827,0.196850389,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
Northern,Rural,3,366.293396,138,0.008608972,0.300000012,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,14.28571429,1
Western,Rural,2,455.3486633,191,0.009014085,0.201680675,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3
Copperbelt,Urban,5,1653.740723,37,0.004253509,0.328358203,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,82.60869565,5
Western,Rural,1,454.232605,185,0.009014085,0.155844152,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44,3
Muchinga,Rural,1,235.6892395,112,0.008843537,0.490196079,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Northern,Rural,1,335.6497192,140,0.008608972,0.127167627,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,59.09090909,3
Eastern,Rural,1,619.6938477,55,0.010673986,0.154838711,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52,3
Southern,Rural,5,906.1154785,158,0.008669267,0.089147285,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,1,1,26.08695652,2
Muchinga,Rural,5,398.4147644,115,0.008843537,0.162162155,Contorl,7,7,4,1,7,1,1,1,7,1.75,1,1,1,1,1,1,16.66666667,1
Northern,Rural,3,693.4748535,130,0.008608972,0.219047621,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,16.66666667,1
Eastern,Rural,1,785.3162842,47,0.010673986,0.145299152,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
Muchinga,Rural,4,375.7364807,123,0.008843537,0.284090906,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,0,1
Southern,Rural,5,155.5179291,167,0.008669267,0.146153852,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,47.61904762,3
Eastern,Rural,1,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3
Northern,Rural,3,605.6147461,128,0.008608972,0.129213482,Contorl,1,1,1,1,1,1,0,0,2,1,1,1,1,1,0,1,8.695652174,1
Copperbelt,Rural,3,146.2341003,26,0.009740259,0.806451619,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,76,4
Eastern,Rural,1,481.271698,58,0.010673986,0.165517241,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,72,4
Lusaka,Rural,4,258.8890076,92,0.010804322,0.19178082,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,1
Western,Rural,2,455.3486633,191,0.009014085,0.201680675,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3
Eastern,Rural,2,416.0484619,64,0.010673986,0.161073819,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,66.66666667,4
Western,Rural,1,481.2757568,183,0.009014085,0.347222209,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2
Copperbelt,Rural,1,363.6075134,24,0.009740259,0.157534242,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Muchinga,Rural,2,482.4048157,118,0.008843537,0.271428585,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luapula,Rural,2,654.0604248,78,0.01005291,0.198347107,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,2
